# Report

name | result
[th06::EnemyEclInstr::ExInsShootStarPattern](#user-content-th06____enemyeclinstr____exinsshootstarpattern) | 89.13%
[th06::EnemyEclInstr::ExInsPatchouliShottypeSetVars](#user-content-th06____enemyeclinstr____exinspatchoulishottypesetvars) | 98.20%
[th06::EnemyEclInstr::ExInsStage56Func4](#user-content-th06____enemyeclinstr____exinsstage56func4) | 98.65%
[th06::EnemyEclInstr::ExInsStage5Func5](#user-content-th06____enemyeclinstr____exinsstage5func5) | 99.31%
[th06::EnemyEclInstr::ExInsBatWingEffect](#user-content-th06____enemyeclinstr____exinsbatwingeffect) | 94.90%
[th06::EnemyEclInstr::ExInsStage6Func7](#user-content-th06____enemyeclinstr____exinsstage6func7) | 99.30%
[th06::EnemyEclInstr::ExInsStage6Func8](#user-content-th06____enemyeclinstr____exinsstage6func8) | 99.32%
[th06::EnemyEclInstr::ExInsStage6Func9](#user-content-th06____enemyeclinstr____exinsstage6func9) | 99.20%
[th06::EnemyEclInstr::ExInsStage6Func11](#user-content-th06____enemyeclinstr____exinsstage6func11) | 98.61%
[th06::EnemyEclInstr::ExInsHandleBatTransformation](#user-content-th06____enemyeclinstr____exinshandlebattransformation) | 99.64%
[th06::EnemyEclInstr::ExInsStage4Func12](#user-content-th06____enemyeclinstr____exinsstage4func12) | 99.91%
[th06::EnemyEclInstr::ExInsStageXFunc13](#user-content-th06____enemyeclinstr____exinsstagexfunc13) | 91.10%
[th06::EnemyEclInstr::ExInsStageXFunc14](#user-content-th06____enemyeclinstr____exinsstagexfunc14) | 99.88%
[th06::EnemyEclInstr::ExInsStageXFunc15](#user-content-th06____enemyeclinstr____exinsstagexfunc15) | 99.65%
[th06::EnemyEclInstr::ExInsFlandreFinalContextUpdate](#user-content-th06____enemyeclinstr____exinsflandrefinalcontextupdate) | 83.79%
[th06::Enemy::Enemy](#user-content-th06____enemy____enemy) | 30.31%
[th06::Enemy::Move](#user-content-th06____enemy____move) | 98.99%
th06::Enemy::ClampPos | 100.00%
[th06::Enemy::HandleLifeCallback](#user-content-th06____enemy____handlelifecallback) | 99.77%
[th06::Enemy::HandleTimerCallback](#user-content-th06____enemy____handletimercallback) | 99.56%
[th06::Enemy::Despawn](#user-content-th06____enemy____despawn) | 99.79%
th06::Enemy::ResetEffectArray | 100.00%
[th06::Enemy::UpdateEffects](#user-content-th06____enemy____updateeffects) | 99.93%
[th06::GameErrorContext::Fatal](#user-content-th06____gameerrorcontext____fatal) | 99.89%
[th06::GameErrorContext::Log](#user-content-th06____gameerrorcontext____log) | 99.89%
[th06::GameErrorContext::Flush](#user-content-th06____gameerrorcontext____flush) | 99.32%
[th06::GameWindow::Present](#user-content-th06____gamewindow____present) | 77.14%
[th06::GameWindow::Render](#user-content-th06____gamewindow____render) | 77.68%
[th06::GameManager::GameManager](#user-content-th06____gamemanager____gamemanager) | 80.03%
[th06::GameManager::AddedCallback](#user-content-th06____gamemanager____addedcallback) | 97.73%
[th06::GameManager::DeletedCallback](#user-content-th06____gamemanager____deletedcallback) | 98.23%
[th06::GameManager::RegisterChain](#user-content-th06____gamemanager____registerchain) | 79.79%
[th06::GameManager::CutChain](#user-content-th06____gamemanager____cutchain) | 92.93%
th06::GameManager::HasReachedMaxClears | 100.00%
th06::GameManager::IncreaseSubrank | 100.00%
th06::GameManager::DecreaseSubrank | 100.00%
[th06::GameManager::IsInBounds](#user-content-th06____gamemanager____isinbounds) | 90.74%
